4000,102145
8000,205357
12000,327592
16000,469412
20000,578607
24000,727003
28000,826300
32000,1077287
36000,1089698
40000,1246163
44000,1353404
48000,1482640
52000,1705823
56000,1749849
60000,1893359
64000,2003760
68000,2123107
72000,2242435
76000,2377809
80000,2507913
84000,2703382
88000,2811939
92000,2873584
96000,3009877
100000,3185722
104000,3411289
108000,3420077
112000,3581899
116000,3691828
120000,3774941
124000,3935611
128000,4051880
132000,4234133
136000,4358646
140000,4435011
144000,4554172
148000,4909326
152000,4839156
156000,4994097
160000,5118184
164000,5351614
168000,5394257
172000,5521570
176000,5682745
180000,6024424
184000,5957586
188000,6207300
192000,6245194
196000,6381289
200000,6607747
204000,6738072
208000,6838547
212000,6970945
216000,7449098
220000,7323168
224000,7396017
228000,7545198
232000,7678018
236000,8761096
240000,8862246
244000,9686754
248000,8268750
252000,8381506
256000,8548536
260000,8742214
264000,8802344
268000,9064531
272000,10190003
276000,10018125
280000,9869535
284000,9695492
288000,9741426
292000,9939285
296000,10308322
300000,10341397
304000,10396210
308000,10515972
312000,10708498
316000,10865887
320000,10984613
324000,11106097
328000,11315617
332000,11471826
336000,11631725
340000,11820382
344000,12003614
348000,13405609
352000,12226598
356000,12398474
360000,12581126
364000,12700370
368000,12856016
372000,13150842
376000,13294954
380000,13323149
384000,13444195
388000,13589884
392000,13738367
396000,13899046
400000,14103533
